id,1,2,3
textfooler-13,sy,vu,ct
textfooler-343,n,vu,ct
textfooler-119,n,sn,ct
textfooler-572,n,vu,ct
textfooler-21,n,vu,ct
textfooler-596,n,vu,ct
textfooler-872,n,vu,p
textfooler-713,n,sn,n
textfooler-959,n,sn,n
textfooler-715,n,vu,ct
textfooler-108,sy,vu,p
textfooler-142,n,vu,p
textfooler-540,sy,vu,p
textfooler-862,n,sn,n
textfooler-240,sy,sn,ct
textfooler-41,n,vu,n
textfooler-874,n,vu,n
textfooler-202,n,vu,ct
textfooler-271,n,sn,ct
textfooler-556,y,sn,p
textfooler-338,y,vu,ct
textfooler-381,n,sn,p
textfooler-948,y,sn,p
textfooler-324,n,vu,p
textfooler-636,n,vu,ct
textfooler-363,n,vu,ct
textfooler-410,n,vu,ct
textfooler-654,y,sn,p
textfooler-973,n,vu,ct
textfooler-849,y,sn,ct
textfooler-985,n,vu,ct
textfooler-79,n,sn,n
textfooler-868,n,vu,p
textfooler-322,n,vu,ct
textfooler-727,n,vu,n
textfooler-222,n,vu,ct
textfooler-47,n,vu,ct
textfooler-372,n,vu,p
textfooler-358,n,vu,ct
textfooler-898,sy,sn,p
textfooler-1059,sy,sn,ct
textfooler-426,n,vu,n
textfooler-952,n,vu,n
textfooler-59,n,vu,ct
textfooler-787,y,n,n
textfooler-328,n,vu,ct
textfooler-1029,sy,vu,ct
textfooler-841,y,sn,n
textfooler-1043,n,vu,ct
textfooler-980,n,vu,ct
textfooler-1047,n,vu,ct
textfooler-839,s,sn,p
textfooler-649,s,sn,n
textfooler-539,n,vu,ct
textfooler-317,n,vu,ct
textfooler-777,n,sn,n
textfooler-469,s,sn,p
textfooler-329,y,n,n
textfooler-781,s,n,p
textfooler-690,s,vu,ct
textfooler-197,s,vu,ct
textfooler-312,n,vu,p
textfooler-640,n,vu,ct
textfooler-771,n,vu,ct
textfooler-958,y,sn,p
textfooler-360,s,vu,ct
textfooler-714,n,sn,p
textfooler-345,s,sn,p
textfooler-406,s,sn,p
textfooler-911,n,vu,p
textfooler-103,y,n,n
textfooler-611,n,vu,n
textfooler-523,n,vu,n
textfooler-373,n,vu,p
textfooler-1,n,vu,ct
textfooler-450,s,sn,p
textfooler-685,n,sn,p
textfooler-451,n,sn,ct
textfooler-926,n,vu,ct
textfooler-416,s,vu,ct
